Timestamp_ms,Row,Point_Index,X,Y,Screen_Width,Screen_Height
1947,0,59,1424,20,1920,1080
1980,0,60,1447,20,1920,1080
2013,0,61,1471,20,1920,1080
2046,0,62,1495,20,1920,1080
2079,0,63,1519,20,1920,1080
2112,0,64,1543,20,1920,1080
2145,0,65,1566,20,1920,1080
2178,0,66,1590,20,1920,1080
2211,0,67,1614,20,1920,1080
2244,0,68,1638,20,1920,1080
2277,0,69,1662,20,1920,1080
2310,0,70,1685,20,1920,1080
2343,0,71,1709,20,1920,1080
2376,0,72,1733,20,1920,1080
2409,0,73,1757,20,1920,1080
2442,0,74,1781,20,1920,1080
2475,0,75,1804,20,1920,1080
2508,0,76,1828,20,1920,1080
2541,0,77,1852,20,1920,1080
2574,0,78,1876,20,1920,1080
2607,0,79,1900,20,1920,1080
2640,1,0,1900,1060,1920,1080
2673,1,1,1876,1060,1920,1080
2706,1,2,1852,1060,1920,1080
2739,1,3,1828,1060,1920,1080
2772,1,4,1804,1060,1920,1080
2805,1,5,1781,1060,1920,1080
2838,1,6,1757,1060,1920,1080
2871,1,7,1733,1060,1920,1080
2904,1,8,1709,1060,1920,1080
2937,1,9,1685,1060,1920,1080
2970,1,10,1662,1060,1920,1080
3003,1,11,1638,1060,1920,1080
3036,1,12,1614,1060,1920,1080
3069,1,13,1590,1060,1920,1080
3102,1,14,1566,1060,1920,1080
3135,1,15,1543,1060,1920,1080
3168,1,16,1519,1060,1920,1080
3201,1,17,1495,1060,1920,1080
3234,1,18,1471,1060,1920,1080
3267,1,19,1447,1060,1920,1080
3300,1,20,1424,1060,1920,1080
3333,1,21,1400,1060,1920,1080
3366,1,22,1376,1060,1920,1080
3399,1,23,1352,1060,1920,1080
3432,1,24,1328,1060,1920,1080
3465,1,25,1305,1060,1920,1080
3498,1,26,1281,1060,1920,1080
3531,1,27,1257,1060,1920,1080
3564,1,28,1233,1060,1920,1080
3597,1,29,1209,1060,1920,1080
3630,1,30,1186,1060,1920,1080
3663,1,31,1162,1060,1920,1080
3696,1,32,1138,1060,1920,1080
3729,1,33,1114,1060,1920,1080
3762,1,34,1090,1060,1920,1080
3795,1,35,1067,1060,1920,1080
3828,1,36,1043,1060,1920,1080
3861,1,37,1019,1060,1920,1080
3894,1,38,995,1060,1920,1080
3927,1,39,971,1060,1920,1080
3960,1,40,948,1060,1920,1080
3993,1,41,924,1060,1920,1080
4026,1,42,900,1060,1920,1080
4059,1,43,876,1060,1920,1080
4092,1,44,852,1060,1920,1080
4125,1,45,829,1060,1920,1080
4158,1,46,805,1060,1920,1080
4191,1,47,781,1060,1920,1080
4224,1,48,757,1060,1920,1080
4257,1,49,733,1060,1920,1080
4290,1,50,710,1060,1920,1080
4323,1,51,686,1060,1920,1080
4356,1,52,662,1060,1920,1080
4389,1,53,638,1060,1920,1080
4422,1,54,614,1060,1920,1080
4455,1,55,591,1060,1920,1080
4488,1,56,567,1060,1920,1080
4521,1,57,543,1060,1920,1080
4554,1,58,519,1060,1920,1080
4587,1,59,495,1060,1920,1080
4620,1,60,472,1060,1920,1080
4653,1,61,448,1060,1920,1080
4686,1,62,424,1060,1920,1080
4719,1,63,400,1060,1920,1080
4752,1,64,376,1060,1920,1080
4785,1,65,353,1060,1920,1080
4818,1,66,329,1060,1920,1080
4851,1,67,305,1060,1920,1080
4884,1,68,281,1060,1920,1080
4917,1,69,257,1060,1920,1080
4950,1,70,234,1060,1920,1080
4983,1,71,210,1060,1920,1080
5016,1,72,186,1060,1920,1080
5049,1,73,162,1060,1920,1080
5082,1,74,138,1060,1920,1080
5115,1,75,115,1060,1920,1080
5148,1,76,91,1060,1920,1080
5181,1,77,67,1060,1920,1080
5214,1,78,43,1060,1920,1080
5247,1,79,20,1060,1920,1080
